COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME,INCONCLUSIVE
Manatee,3,2812,508,15,3322,html version of FL COVID Rep 04-26-2020,2
Osceola,48,4219,463,10,4685,html version of FL COVID Rep 04-26-2020,3
Escambia,18,6002,457,7,6466,html version of FL COVID Rep 04-26-2020,7
Volusia,1,7333,434,6,7770,html version of FL COVID Rep 04-26-2020,3
Polk,8,6066,410,6,6478,html version of FL COVID Rep 04-26-2020,2
Seminole,4,5175,357,6,5535,html version of FL COVID Rep 04-26-2020,3
Sarasota,1,3920,321,8,4242,html version of FL COVID Rep 04-26-2020,1
Clay,,3243,267,8,3511,html version of FL COVID Rep 04-26-2020,1
Brevard,2,7182,252,3,7436,html version of FL COVID Rep 04-26-2020,2
Alachua,,6141,251,4,6399,html version of FL COVID Rep 04-26-2020,7
Pasco,25,4827,232,5,5065,html version of FL COVID Rep 04-26-2020,6
St. Lucie,47,2615,228,8,2845,html version of FL COVID Rep 04-26-2020,2
Lake,14,4751,222,4,4974,html version of FL COVID Rep 04-26-2020,1
Leon,7,2790,210,7,3002,html version of FL COVID Rep 04-26-2020,2
St. Johns,5,4367,204,4,4572,html version of FL COVID Rep 04-26-2020,1
Charlotte,6,1703,203,11,1908,html version of FL COVID Rep 04-26-2020,2
Martin,5,1463,174,11,1637,html version of FL COVID Rep 04-26-2020,
Sumter,24,1567,171,10,1738,html version of FL COVID Rep 04-26-2020,
Marion,200,3682,151,4,3835,html version of FL COVID Rep 04-26-2020,2
Santa Rosa,1,2333,149,6,2483,html version of FL COVID Rep 04-26-2020,1
Okaloosa,11,1976,149,7,2125,html version of FL COVID Rep 04-26-2020,
Flagler,1,1129,121,10,1251,html version of FL COVID Rep 04-26-2020,1
Suwannee,2,449,116,21,565,html version of FL COVID Rep 04-26-2020,
Citrus,1,1421,97,6,1519,html version of FL COVID Rep 04-26-2020,1
Indian River,49,1498,89,6,1587,html version of FL COVID Rep 04-26-2020,
Hernando,,1461,88,6,1549,html version of FL COVID Rep 04-26-2020,
Putnam,3,1161,87,7,1248,html version of FL COVID Rep 04-26-2020,
Gadsden,,376,81,18,457,html version of FL COVID Rep 04-26-2020,
Monroe,16,1058,78,7,1136,html version of FL COVID Rep 04-26-2020,
Highlands,,974,76,7,1051,html version of FL COVID Rep 04-26-2020,1
Bay,,1169,65,5,1236,html version of FL COVID Rep 04-26-2020,2
Hendry,1,388,65,14,453,html version of FL COVID Rep 04-26-2020,
Nassau,,1294,53,4,1347,html version of FL COVID Rep 04-26-2020,
Columbia,6,823,49,6,872,html version of FL COVID Rep 04-26-2020,
Bradford,1,672,43,6,715,html version of FL COVID Rep 04-26-2020,
Madison,94,243,43,15,286,html version of FL COVID Rep 04-26-2020,
Walton,,516,35,6,552,html version of FL COVID Rep 04-26-2020,1
Jefferson,2,110,27,20,137,html version of FL COVID Rep 04-26-2020,
Desoto,4,471,24,5,495,html version of FL COVID Rep 04-26-2020,
Wakulla,,255,21,8,276,html version of FL COVID Rep 04-26-2020,
Baker,,335,20,6,355,html version of FL COVID Rep 04-26-2020,
Levy,,493,13,3,506,html version of FL COVID Rep 04-26-2020,
Jackson,,379,13,3,392,html version of FL COVID Rep 04-26-2020,
Washington,1,273,12,4,285,html version of FL COVID Rep 04-26-2020,
Hardee,,105,10,9,115,html version of FL COVID Rep 04-26-2020,
Holmes,5,463,9,2,472,html version of FL COVID Rep 04-26-2020,
Okeechobee,1,327,9,3,336,html version of FL COVID Rep 04-26-2020,
Hamilton,3,131,6,4,137,html version of FL COVID Rep 04-26-2020,
Calhoun,,99,6,6,105,html version of FL COVID Rep 04-26-2020,
Glades,,49,6,11,55,html version of FL COVID Rep 04-26-2020,
Dixie,1,185,5,3,190,html version of FL COVID Rep 04-26-2020,
Gilchrist,1,208,4,2,212,html version of FL COVID Rep 04-26-2020,
Union,1,204,4,2,208,html version of FL COVID Rep 04-26-2020,
Taylor,1,204,3,1,207,html version of FL COVID Rep 04-26-2020,
Franklin,,84,2,2,86,html version of FL COVID Rep 04-26-2020,
Liberty,,41,2,5,43,html version of FL COVID Rep 04-26-2020,
Gulf,,122,1,1,123,html version of FL COVID Rep 04-26-2020,
Lafayette,,66,1,1,67,html version of FL COVID Rep 04-26-2020,
Unknown,1,41,,,41,html version of FL COVID Rep 04-26-2020,
Total,1183,313085,31528,9,345182,html version of FL COVID Rep 04-26-2020,569
Dade,269,67242,11570,15,78982,html version of FL COVID Rep 04-27-2020,170
Broward,32,39175,4794,11,43999,html version of FL COVID Rep 04-27-2020,30
Palm Beach,51,21900,2763,11,24914,html version of FL COVID Rep 04-27-2020,251
Orange,15,22280,1339,6,23622,html version of FL COVID Rep 04-27-2020,3
Hillsborough,15,17836,1062,6,18931,html version of FL COVID Rep 04-27-2020,33
Duval,76,20605,990,5,21606,html version of FL COVID Rep 04-27-2020,11
Lee,14,9862,971,9,10835,html version of FL COVID Rep 04-27-2020,2
Pinellas,57,12542,698,5,13250,html version of FL COVID Rep 04-27-2020,10
Collier,12,4655,562,11,5218,html version of FL COVID Rep 04-27-2020,1
Manatee,3,2976,533,15,3511,html version of FL COVID Rep 04-27-2020,2
Escambia,18,6198,470,7,6675,html version of FL COVID Rep 04-27-2020,7
Osceola,45,4631,470,9,5103,html version of FL COVID Rep 04-27-2020,2
Polk,6,6361,441,6,6804,html version of FL COVID Rep 04-27-2020,2
Volusia,1,7744,440,5,8187,html version of FL COVID Rep 04-27-2020,3
Seminole,4,5952,367,6,6323,html version of FL COVID Rep 04-27-2020,4
Sarasota,1,4022,323,7,4346,html version of FL COVID Rep 04-27-2020,1
Clay,,3315,271,8,3587,html version of FL COVID Rep 04-27-2020,1
Brevard,1,7897,266,3,8165,html version of FL COVID Rep 04-27-2020,2
Alachua,,6271,254,4,6532,html version of FL COVID Rep 04-27-2020,7
Pasco,20,4949,237,5,5192,html version of FL COVID Rep 04-27-2020,6
St. Lucie,48,2724,236,8,2962,html version of FL COVID Rep 04-27-2020,2
Lake,14,4881,223,4,5105,html version of FL COVID Rep 04-27-2020,1
Leon,7,2881,212,7,3095,html version of FL COVID Rep 04-27-2020,2
Charlotte,5,1745,211,11,1958,html version of FL COVID Rep 04-27-2020,2
St. Johns,5,4409,204,4,4614,html version of FL COVID Rep 04-27-2020,1
Martin,5,1530,183,11,1713,html version of FL COVID Rep 04-27-2020,
Sumter,24,1592,173,10,1765,html version of FL COVID Rep 04-27-2020,
Marion,135,3807,151,4,3960,html version of FL COVID Rep 04-27-2020,2
Santa Rosa,1,2376,150,6,2527,html version of FL COVID Rep 04-27-2020,1
Okaloosa,11,2007,149,7,2156,html version of FL COVID Rep 04-27-2020,
Flagler,,1266,127,9,1394,html version of FL COVID Rep 04-27-2020,1
Suwannee,2,472,118,20,590,html version of FL COVID Rep 04-27-2020,
Citrus,1,1433,97,6,1531,html version of FL COVID Rep 04-27-2020,1
Indian River,48,1557,90,5,1647,html version of FL COVID Rep 04-27-2020,
Hernando,,1520,89,6,1609,html version of FL COVID Rep 04-27-2020,
Putnam,3,1210,87,7,1297,html version of FL COVID Rep 04-27-2020,
Gadsden,,398,87,18,485,html version of FL COVID Rep 04-27-2020,
Highlands,,988,80,7,1069,html version of FL COVID Rep 04-27-2020,1
Monroe,27,1088,79,7,1167,html version of FL COVID Rep 04-27-2020,
Bay,,1190,68,5,1260,html version of FL COVID Rep 04-27-2020,2
Hendry,1,406,68,14,474,html version of FL COVID Rep 04-27-2020,
Nassau,,1320,53,4,1373,html version of FL COVID Rep 04-27-2020,
Columbia,6,883,53,6,936,html version of FL COVID Rep 04-27-2020,
Bradford,1,678,44,6,722,html version of FL COVID Rep 04-27-2020,
Madison,93,251,44,15,295,html version of FL COVID Rep 04-27-2020,
Walton,,527,35,6,563,html version of FL COVID Rep 04-27-2020,1
Jefferson,2,112,28,20,140,html version of FL COVID Rep 04-27-2020,
Desoto,4,481,25,5,506,html version of FL COVID Rep 04-27-2020,
Wakulla,1,267,22,8,289,html version of FL COVID Rep 04-27-2020,
Baker,,341,20,6,361,html version of FL COVID Rep 04-27-2020,
Levy,,517,13,2,530,html version of FL COVID Rep 04-27-2020,
Jackson,,385,13,3,398,html version of FL COVID Rep 04-27-2020,
Hardee,,114,13,10,127,html version of FL COVID Rep 04-27-2020,
Washington,1,275,12,4,287,html version of FL COVID Rep 04-27-2020,
Okeechobee,1,343,10,3,353,html version of FL COVID Rep 04-27-2020,
Holmes,5,464,9,2,473,html version of FL COVID Rep 04-27-2020,
Hamilton,3,134,6,4,140,html version of FL COVID Rep 04-27-2020,
Calhoun,,102,6,6,108,html version of FL COVID Rep 04-27-2020,
Glades,,54,6,10,60,html version of FL COVID Rep 04-27-2020,
Dixie,1,191,5,3,196,html version of FL COVID Rep 04-27-2020,
Gilchrist,1,215,4,2,219,html version of FL COVID Rep 04-27-2020,
Union,1,207,4,2,211,html version of FL COVID Rep 04-27-2020,
Taylor,1,211,3,1,214,html version of FL COVID Rep 04-27-2020,
Franklin,,85,2,2,87,html version of FL COVID Rep 04-27-2020,
Liberty,,43,2,4,45,html version of FL COVID Rep 04-27-2020,
Gulf,,122,1,1,123,html version of FL COVID Rep 04-27-2020,
Lafayette,,69,1,1,70,html version of FL COVID Rep 04-27-2020,
Unknown,1,41,1,2,42,html version of FL COVID Rep 04-27-2020,
Total,1099,324325,32138,9,357028,html version of FL COVID Rep 04-27-2020,565
Dade,272,69650,11831,14,81652,html version of FL COVID Rep 04-28-2020,171
Broward,29,39826,4847,11,44703,html version of FL COVID Rep 04-28-2020,30
Palm Beach,52,23754,2877,11,26876,html version of FL COVID Rep 04-28-2020,245
Orange,15,22735,1363,6,24101,html version of FL COVID Rep 04-28-2020,3
Hillsborough,21,18281,1080,6,19394,html version of FL COVID Rep 04-28-2020,33
Duval,73,21049,1001,5,22061,html version of FL COVID Rep 04-28-2020,11
Lee,14,9981,990,9,10973,html version of FL COVID Rep 04-28-2020,2
Pinellas,173,12766,709,5,13485,html version of FL COVID Rep 04-28-2020,10
Collier,13,4689,568,11,5258,html version of FL COVID Rep 04-28-2020,1
Manatee,1,3013,563,16,3578,html version of FL COVID Rep 04-28-2020,2
Escambia,17,6295,485,7,6788,html version of FL COVID Rep 04-28-2020,8
Osceola,45,4702,474,9,5178,html version of FL COVID Rep 04-28-2020,2
Polk,6,6540,457,7,6999,html version of FL COVID Rep 04-28-2020,2
Volusia,1,7927,445,5,8375,html version of FL COVID Rep 04-28-2020,3
Seminole,3,6204,374,6,6582,html version of FL COVID Rep 04-28-2020,4
Sarasota,2,4067,334,8,4402,html version of FL COVID Rep 04-28-2020,1
Clay,,3372,272,7,3645,html version of FL COVID Rep 04-28-2020,1
Brevard,1,7926,268,3,8196,html version of FL COVID Rep 04-28-2020,2
Alachua,,6369,255,4,6631,html version of FL COVID Rep 04-28-2020,7
Pasco,25,5029,239,5,5274,html version of FL COVID Rep 04-28-2020,6
St. Lucie,52,2790,239,8,3031,html version of FL COVID Rep 04-28-2020,2
Lake,14,4953,226,4,5179,html version of FL COVID Rep 04-28-2020,
Charlotte,5,1798,219,11,2018,html version of FL COVID Rep 04-28-2020,1
Leon,7,2937,213,7,3152,html version of FL COVID Rep 04-28-2020,2
St. Johns,7,4627,207,4,4835,html version of FL COVID Rep 04-28-2020,1
Martin,5,1560,185,11,1745,html version of FL COVID Rep 04-28-2020,
Sumter,25,1603,177,10,1780,html version of FL COVID Rep 04-28-2020,
Marion,132,3927,160,4,4089,html version of FL COVID Rep 04-28-2020,2
Okaloosa,11,2201,152,6,2353,html version of FL COVID Rep 04-28-2020,
Santa Rosa,1,2414,151,6,2566,html version of FL COVID Rep 04-28-2020,1
Flagler,,1301,131,9,1433,html version of FL COVID Rep 04-28-2020,1
Suwannee,2,582,128,18,710,html version of FL COVID Rep 04-28-2020,
Putnam,3,1358,103,7,1461,html version of FL COVID Rep 04-28-2020,
Citrus,1,1445,97,6,1544,html version of FL COVID Rep 04-28-2020,2
Gadsden,,406,94,19,500,html version of FL COVID Rep 04-28-2020,
Indian River,49,1612,90,5,1702,html version of FL COVID Rep 04-28-2020,
Hernando,,1537,89,5,1626,html version of FL COVID Rep 04-28-2020,
Highlands,3,1000,81,7,1082,html version of FL COVID Rep 04-28-2020,1
Monroe,23,1101,78,7,1179,html version of FL COVID Rep 04-28-2020,
Hendry,1,437,72,14,509,html version of FL COVID Rep 04-28-2020,
Bay,,1362,70,5,1434,html version of FL COVID Rep 04-28-2020,2
Columbia,6,1059,55,5,1114,html version of FL COVID Rep 04-28-2020,
Nassau,,1341,53,4,1394,html version of FL COVID Rep 04-28-2020,
Madison,78,306,49,14,355,html version of FL COVID Rep 04-28-2020,
Bradford,2,691,44,6,735,html version of FL COVID Rep 04-28-2020,
Walton,,551,35,6,587,html version of FL COVID Rep 04-28-2020,1
Jefferson,1,115,28,20,143,html version of FL COVID Rep 04-28-2020,
Desoto,4,485,26,5,511,html version of FL COVID Rep 04-28-2020,
Wakulla,1,295,22,7,317,html version of FL COVID Rep 04-28-2020,
Baker,,346,20,5,366,html version of FL COVID Rep 04-28-2020,
Levy,,593,18,3,611,html version of FL COVID Rep 04-28-2020,
Hardee,,116,14,11,130,html version of FL COVID Rep 04-28-2020,
Jackson,,386,13,3,399,html version of FL COVID Rep 04-28-2020,
Washington,1,279,12,4,291,html version of FL COVID Rep 04-28-2020,
Okeechobee,1,349,10,3,359,html version of FL COVID Rep 04-28-2020,
Holmes,6,471,9,2,480,html version of FL COVID Rep 04-28-2020,
Dixie,1,197,6,3,203,html version of FL COVID Rep 04-28-2020,
Hamilton,3,140,6,4,146,html version of FL COVID Rep 04-28-2020,
Calhoun,,103,6,6,109,html version of FL COVID Rep 04-28-2020,
Glades,,55,5,8,60,html version of FL COVID Rep 04-28-2020,
Gilchrist,1,221,4,2,225,html version of FL COVID Rep 04-28-2020,
Union,1,211,4,2,215,html version of FL COVID Rep 04-28-2020,
Unknown,1,49,4,8,53,html version of FL COVID Rep 04-28-2020,
Taylor,5,214,3,1,217,html version of FL COVID Rep 04-28-2020,
Franklin,,85,2,2,87,html version of FL COVID Rep 04-28-2020,
Liberty,,47,2,4,49,html version of FL COVID Rep 04-28-2020,
Gulf,,128,1,1,129,html version of FL COVID Rep 04-28-2020,
Lafayette,,70,1,1,71,html version of FL COVID Rep 04-28-2020,
Total,1216,334029,32846,9,367435,html version of FL COVID Rep 04-28-2020,560
Dade,275,70714,11927,14,82812,html version of FL COVID Rep 04-29-2020,171
Broward,32,40337,4898,11,45265,html version of FL COVID Rep 04-29-2020,30
Palm Beach,55,24137,2911,11,27292,html version of FL COVID Rep 04-29-2020,244
Orange,18,23216,1371,6,24590,html version of FL COVID Rep 04-29-2020,3
Hillsborough,20,18604,1105,6,19742,html version of FL COVID Rep 04-29-2020,33
Duval,73,21645,1007,4,22663,html version of FL COVID Rep 04-29-2020,11
Lee,13,10174,1003,9,11179,html version of FL COVID Rep 04-29-2020,2
Pinellas,193,13071,718,5,13799,html version of FL COVID Rep 04-29-2020,10
Collier,12,4842,581,11,5424,html version of FL COVID Rep 04-29-2020,1
Manatee,,3060,567,16,3629,html version of FL COVID Rep 04-29-2020,2
Escambia,23,6401,496,7,6905,html version of FL COVID Rep 04-29-2020,8
Osceola,44,5032,479,9,5514,html version of FL COVID Rep 04-29-2020,3
Polk,7,6680,468,7,7150,html version of FL COVID Rep 04-29-2020,2
Volusia,1,8021,448,5,8472,html version of FL COVID Rep 04-29-2020,3
Seminole,3,6270,373,6,6647,html version of FL COVID Rep 04-29-2020,4
Sarasota,2,4148,338,8,4487,html version of FL COVID Rep 04-29-2020,1
Clay,,3429,272,7,3702,html version of FL COVID Rep 04-29-2020,1
Brevard,1,7996,270,3,8268,html version of FL COVID Rep 04-29-2020,2
Alachua,,6471,262,4,6740,html version of FL COVID Rep 04-29-2020,7
Pasco,18,5131,241,4,5378,html version of FL COVID Rep 04-29-2020,6
St. Lucie,54,2822,239,8,3063,html version of FL COVID Rep 04-29-2020,2
Lake,14,5155,227,4,5382,html version of FL COVID Rep 04-29-2020,
Charlotte,4,1826,223,11,2050,html version of FL COVID Rep 04-29-2020,1
Leon,11,2955,214,7,3171,html version of FL COVID Rep 04-29-2020,2
St. Johns,9,4691,207,4,4899,html version of FL COVID Rep 04-29-2020,1
Martin,5,1568,186,11,1754,html version of FL COVID Rep 04-29-2020,
Sumter,25,1620,176,10,1796,html version of FL COVID Rep 04-29-2020,
Marion,163,4012,165,4,4179,html version of FL COVID Rep 04-29-2020,2
Santa Rosa,1,2456,153,6,2610,html version of FL COVID Rep 04-29-2020,1
Okaloosa,9,2342,153,6,2495,html version of FL COVID Rep 04-29-2020,
Flagler,,1326,133,9,1460,html version of FL COVID Rep 04-29-2020,1
Suwannee,1,602,129,18,731,html version of FL COVID Rep 04-29-2020,
Putnam,3,1387,103,7,1490,html version of FL COVID Rep 04-29-2020,
Citrus,1,1449,97,6,1548,html version of FL COVID Rep 04-29-2020,2
Gadsden,,410,94,19,504,html version of FL COVID Rep 04-29-2020,
Indian River,47,1645,90,5,1735,html version of FL COVID Rep 04-29-2020,
Hernando,,1567,89,5,1656,html version of FL COVID Rep 04-29-2020,
Highlands,9,1036,81,7,1118,html version of FL COVID Rep 04-29-2020,1
Hendry,1,446,80,15,526,html version of FL COVID Rep 04-29-2020,
Monroe,30,1116,78,7,1194,html version of FL COVID Rep 04-29-2020,
Bay,,1394,70,5,1466,html version of FL COVID Rep 04-29-2020,2
Columbia,6,1074,57,5,1131,html version of FL COVID Rep 04-29-2020,
Nassau,,1361,56,4,1417,html version of FL COVID Rep 04-29-2020,
Madison,51,329,49,13,378,html version of FL COVID Rep 04-29-2020,
Bradford,2,703,46,6,749,html version of FL COVID Rep 04-29-2020,
Walton,,561,35,6,597,html version of FL COVID Rep 04-29-2020,1
Desoto,4,489,28,5,517,html version of FL COVID Rep 04-29-2020,
Jefferson,,134,28,17,162,html version of FL COVID Rep 04-29-2020,
Wakulla,1,300,22,7,322,html version of FL COVID Rep 04-29-2020,
Baker,,350,20,5,370,html version of FL COVID Rep 04-29-2020,
Levy,,608,18,3,626,html version of FL COVID Rep 04-29-2020,
Hardee,,122,16,12,138,html version of FL COVID Rep 04-29-2020,
Jackson,,390,14,3,404,html version of FL COVID Rep 04-29-2020,
Washington,1,284,12,4,296,html version of FL COVID Rep 04-29-2020,
Okeechobee,1,360,10,3,370,html version of FL COVID Rep 04-29-2020,
Holmes,1,474,9,2,483,html version of FL COVID Rep 04-29-2020,
Calhoun,,104,8,7,112,html version of FL COVID Rep 04-29-2020,
Unknown,1,45,7,13,52,html version of FL COVID Rep 04-29-2020,
Dixie,1,204,6,3,210,html version of FL COVID Rep 04-29-2020,
Hamilton,1,147,6,4,153,html version of FL COVID Rep 04-29-2020,
Glades,,55,6,10,61,html version of FL COVID Rep 04-29-2020,
Gilchrist,1,225,4,2,229,html version of FL COVID Rep 04-29-2020,
Union,1,215,4,2,219,html version of FL COVID Rep 04-29-2020,
Taylor,3,223,3,1,226,html version of FL COVID Rep 04-29-2020,
Liberty,,48,3,6,51,html version of FL COVID Rep 04-29-2020,
Franklin,,85,2,2,87,html version of FL COVID Rep 04-29-2020,
Gulf,,129,1,1,130,html version of FL COVID Rep 04-29-2020,
Lafayette,,72,1,1,73,html version of FL COVID Rep 04-29-2020,
Total,1252,340295,33193,9,374048,html version of FL COVID Rep 04-29-2020,560
Dade,282,72102,12063,14,84337,html version of FL COVID Rep 04-30-2020,172
Broward,31,40972,4953,11,45955,html version of FL COVID Rep 04-30-2020,30
Palm Beach,54,24744,2963,11,27951,html version of FL COVID Rep 04-30-2020,244
Orange,15,24112,1385,5,25500,html version of FL COVID Rep 04-30-2020,3
Hillsborough,19,19170,1124,6,20327,html version of FL COVID Rep 04-30-2020,33
Lee,12,10265,1021,9,11288,html version of FL COVID Rep 04-30-2020,2
Duval,74,22333,1012,4,23356,html version of FL COVID Rep 04-30-2020,11
Pinellas,202,13536,729,5,14275,html version of FL COVID Rep 04-30-2020,10
Collier,11,4900,596,11,5497,html version of FL COVID Rep 04-30-2020,1
Manatee,,3186,580,15,3768,html version of FL COVID Rep 04-30-2020,2
Escambia,24,6516,506,7,7030,html version of FL COVID Rep 04-30-2020,8
Polk,7,6828,483,7,7313,html version of FL COVID Rep 04-30-2020,2
Osceola,45,5232,478,8,5713,html version of FL COVID Rep 04-30-2020,3
Volusia,2,8155,452,5,8610,html version of FL COVID Rep 04-30-2020,3
Seminole,3,6464,379,6,6847,html version of FL COVID Rep 04-30-2020,4
Sarasota,2,4254,352,8,4607,html version of FL COVID Rep 04-30-2020,1
Brevard,1,8082,285,3,8369,html version of FL COVID Rep 04-30-2020,2
Clay,,3487,273,7,3761,html version of FL COVID Rep 04-30-2020,1
Alachua,,6627,267,4,6901,html version of FL COVID Rep 04-30-2020,7
Pasco,21,5267,249,5,5522,html version of FL COVID Rep 04-30-2020,6
St. Lucie,73,2944,247,8,3193,html version of FL COVID Rep 04-30-2020,2
Charlotte,4,1887,236,11,2124,html version of FL COVID Rep 04-30-2020,1
Lake,15,5337,227,4,5564,html version of FL COVID Rep 04-30-2020,
Leon,10,3032,219,7,3253,html version of FL COVID Rep 04-30-2020,2
St. Johns,14,4769,208,4,4978,html version of FL COVID Rep 04-30-2020,1
Martin,5,1611,191,11,1802,html version of FL COVID Rep 04-30-2020,
Sumter,24,1638,181,10,1819,html version of FL COVID Rep 04-30-2020,
Marion,117,4173,175,4,4350,html version of FL COVID Rep 04-30-2020,2
Santa Rosa,1,2485,154,6,2640,html version of FL COVID Rep 04-30-2020,1
Okaloosa,4,2454,154,6,2608,html version of FL COVID Rep 04-30-2020,
Flagler,,1377,133,9,1511,html version of FL COVID Rep 04-30-2020,1
Suwannee,1,609,130,18,739,html version of FL COVID Rep 04-30-2020,
Putnam,3,1424,106,7,1530,html version of FL COVID Rep 04-30-2020,
Citrus,1,1504,99,6,1605,html version of FL COVID Rep 04-30-2020,2
Gadsden,,427,95,18,522,html version of FL COVID Rep 04-30-2020,
Indian River,47,1678,90,5,1768,html version of FL COVID Rep 04-30-2020,
Hernando,,1597,90,5,1687,html version of FL COVID Rep 04-30-2020,
Hendry,1,452,83,16,535,html version of FL COVID Rep 04-30-2020,
Highlands,7,1080,81,7,1162,html version of FL COVID Rep 04-30-2020,1
Monroe,15,1174,79,6,1253,html version of FL COVID Rep 04-30-2020,
Bay,,1474,72,5,1548,html version of FL COVID Rep 04-30-2020,2
Columbia,6,1090,58,5,1148,html version of FL COVID Rep 04-30-2020,
Nassau,,1403,56,4,1459,html version of FL COVID Rep 04-30-2020,
Madison,18,359,55,13,414,html version of FL COVID Rep 04-30-2020,
Bradford,2,717,46,6,763,html version of FL COVID Rep 04-30-2020,
Walton,,602,38,6,641,html version of FL COVID Rep 04-30-2020,1
Desoto,4,504,29,5,533,html version of FL COVID Rep 04-30-2020,
Jefferson,,138,28,17,166,html version of FL COVID Rep 04-30-2020,
Wakulla,,309,23,7,332,html version of FL COVID Rep 04-30-2020,
Baker,,363,20,5,383,html version of FL COVID Rep 04-30-2020,
Levy,,621,19,3,640,html version of FL COVID Rep 04-30-2020,
Hardee,,128,18,12,146,html version of FL COVID Rep 04-30-2020,
Jackson,,394,14,3,408,html version of FL COVID Rep 04-30-2020,
Washington,1,287,12,4,299,html version of FL COVID Rep 04-30-2020,
Okeechobee,1,372,11,3,383,html version of FL COVID Rep 04-30-2020,
Holmes,1,480,10,2,490,html version of FL COVID Rep 04-30-2020,
Calhoun,,106,8,7,114,html version of FL COVID Rep 04-30-2020,
Dixie,1,211,7,3,218,html version of FL COVID Rep 04-30-2020,
Unknown,1,47,7,13,54,html version of FL COVID Rep 04-30-2020,
Hamilton,1,152,6,4,158,html version of FL COVID Rep 04-30-2020,
Glades,,57,6,10,63,html version of FL COVID Rep 04-30-2020,
Gilchrist,1,234,5,2,239,html version of FL COVID Rep 04-30-2020,
Union,,218,4,2,222,html version of FL COVID Rep 04-30-2020,
Taylor,2,224,3,1,227,html version of FL COVID Rep 04-30-2020,
Liberty,1,48,3,6,51,html version of FL COVID Rep 04-30-2020,
Franklin,,88,2,2,90,html version of FL COVID Rep 04-30-2020,
Gulf,,130,1,1,131,html version of FL COVID Rep 04-30-2020,
Lafayette,,75,1,1,76,html version of FL COVID Rep 04-30-2020,
Total,1187,348715,33690,9,382966,html version of FL COVID Rep 04-30-2020,561
Dade,275,75674,12389,14,88238,html version of FL COVID Rep 05-01-2020,175
Broward,32,44306,5144,10,49485,html version of FL COVID Rep 05-01-2020,35
Palm Beach,54,25748,3041,10,29029,html version of FL COVID Rep 05-01-2020,240
Orange,11,24946,1413,5,26362,html version of FL COVID Rep 05-01-2020,3
Hillsborough,17,20709,1163,5,21903,html version of FL COVID Rep 05-01-2020,31
Lee,16,10812,1067,9,11881,html version of FL COVID Rep 05-01-2020,2
Duval,76,23381,1025,4,24416,html version of FL COVID Rep 05-01-2020,10
Pinellas,227,14012,748,5,14770,html version of FL COVID Rep 05-01-2020,10
Collier,11,5105,610,11,5716,html version of FL COVID Rep 05-01-2020,1
Manatee,,3333,591,15,3926,html version of FL COVID Rep 05-01-2020,2
Escambia,22,6972,532,7,7511,html version of FL COVID Rep 05-01-2020,7
Volusia,1,9016,500,5,9519,html version of FL COVID Rep 05-01-2020,3
Polk,6,7279,500,6,7781,html version of FL COVID Rep 05-01-2020,2
Osceola,45,5424,486,8,5913,html version of FL COVID Rep 05-01-2020,3
Seminole,3,6803,385,5,7192,html version of FL COVID Rep 05-01-2020,4
Sarasota,3,4464,365,8,4830,html version of FL COVID Rep 05-01-2020,1
Brevard,1,8694,289,3,8985,html version of FL COVID Rep 05-01-2020,2
Clay,,3702,276,7,3979,html version of FL COVID Rep 05-01-2020,1
Alachua,,6785,273,4,7065,html version of FL COVID Rep 05-01-2020,7
Pasco,40,5417,252,4,5675,html version of FL COVID Rep 05-01-2020,6
St. Lucie,48,3063,249,8,3314,html version of FL COVID Rep 05-01-2020,2
Charlotte,4,1965,245,11,2211,html version of FL COVID Rep 05-01-2020,1
Lake,8,6236,233,4,6469,html version of FL COVID Rep 05-01-2020,
Leon,12,3092,226,7,3320,html version of FL COVID Rep 05-01-2020,2
Sumter,24,1724,217,11,1941,html version of FL COVID Rep 05-01-2020,
St. Johns,9,5023,210,4,5234,html version of FL COVID Rep 05-01-2020,1
Martin,4,1655,197,11,1852,html version of FL COVID Rep 05-01-2020,
Marion,132,4318,178,4,4498,html version of FL COVID Rep 05-01-2020,2
Santa Rosa,1,2577,158,6,2736,html version of FL COVID Rep 05-01-2020,1
Okaloosa,4,2638,156,6,2794,html version of FL COVID Rep 05-01-2020,
Suwannee,,658,139,17,797,html version of FL COVID Rep 05-01-2020,
Flagler,,1429,134,9,1564,html version of FL COVID Rep 05-01-2020,1
Putnam,3,1490,108,7,1598,html version of FL COVID Rep 05-01-2020,
Gadsden,,437,103,19,540,html version of FL COVID Rep 05-01-2020,
Citrus,1,1556,99,6,1657,html version of FL COVID Rep 05-01-2020,2
Hernando,,1637,92,5,1729,html version of FL COVID Rep 05-01-2020,
Hendry,1,478,92,16,570,html version of FL COVID Rep 05-01-2020,
Indian River,53,1746,91,5,1837,html version of FL COVID Rep 05-01-2020,
Highlands,5,1128,84,7,1213,html version of FL COVID Rep 05-01-2020,1
Monroe,33,1203,79,6,1282,html version of FL COVID Rep 05-01-2020,
Bay,,1533,72,4,1607,html version of FL COVID Rep 05-01-2020,2
Columbia,6,1151,64,5,1215,html version of FL COVID Rep 05-01-2020,
Madison,7,379,58,13,437,html version of FL COVID Rep 05-01-2020,
Nassau,,1461,57,4,1518,html version of FL COVID Rep 05-01-2020,
